Easting,Northing,Height,Type,UTC_time,Zone,N_Sat
614812.2179873717,9763234.609122155,90.31323374473257,DGNSS,Fri Nov 13 12:15:14 GMT-05:00 2020,17S,8
614812.1856912664,9763234.602512209,90.34073114061273,DGNSS,Fri Nov 13 12:15:19 GMT-05:00 2020,17S,8
614812.1732314909,9763234.612513758,90.3498049558961,DGNSS,Fri Nov 13 12:15:24 GMT-05:00 2020,17S,9
614812.1579444304,9763234.607953008,90.36234483323284,DGNSS,Fri Nov 13 12:15:29 GMT-05:00 2020,17S,8
614812.143355357,9763234.607683057,90.37081210820126,DGNSS,Fri Nov 13 12:15:34 GMT-05:00 2020,17S,8
614812.1267406843,9763234.616138566,90.38892942324044,DGNSS,Fri Nov 13 12:15:39 GMT-05:00 2020,17S,8
614812.1075946852,9763234.620342357,90.40758175088563,DGNSS,Fri Nov 13 12:15:44 GMT-05:00 2020,17S,8
614811.546212275,9763228.94653376,101.8014908654221,INVALID,Fri Nov 13 12:15:49 GMT-05:00 2020,17S,9
614812.0835422471,9763234.619280605,90.41739415349842,DGNSS,Fri Nov 13 12:15:54 GMT-05:00 2020,17S,8
614811.8865114849,9763234.866474709,90.26686085293517,GPS,Fri Nov 13 12:15:59 GMT-05:00 2020,17S,8
614811.8895226837,9763234.86249776,90.26133650020651,GPS,Fri Nov 13 12:16:04 GMT-05:00 2020,17S,9
614811.892240618,9763234.862697795,90.25733536892105,GPS,Fri Nov 13 12:16:09 GMT-05:00 2020,17S,8
614811.8922833761,9763234.867949156,90.27468624304299,GPS,Fri Nov 13 12:16:14 GMT-05:00 2020,17S,9
614811.8917988485,9763234.866814105,90.26468800312912,GPS,Fri Nov 13 12:16:19 GMT-05:00 2020,17S,9
614811.8848127851,9763234.866218174,90.25458170663536,GPS,Fri Nov 13 12:16:24 GMT-05:00 2020,17S,9
614811.8907970489,9763234.865354061,90.26431840971723,GPS,Fri Nov 13 12:16:29 GMT-05:00 2020,17S,9
